jd, h2o, co2, dust
2455498.3846892 3.3623729340988e-05 1.9891396173039547e-05 0.0007633873539632112
2455498.4680214 2.852436064237472e-05 1.6301831499285148e-05 0.000783899851837162
2455498.5096864 2.775067325499032e-05 1.9251559720183643e-05 0.0005790968948725574
2455498.5513526 2.8732723944011464e-05 2.25648274730062e-05 0.0007858662590227068
2455498.5930187 3.157343293508304e-05 1.776480854864856e-05 0.0005600264400894995
2455498.634685 2.8266169021296054e-05 1.8963543844203085e-05 0.0007212982647473783
2455498.676351 2.5526395056692423e-05 1.5041393783971138e-05 0.0005872263758461115
2455498.7180172 2.6255786984803444e-05 8.861075031483829e-06 0.0006853596757905948
2455498.7268701 2.89215408558652e-05 1.0122411870396359e-05 0.00040973772817270646
2455498.7707343 2.945276569435725e-05 9.865344271021479e-06 0.0003987710799280946
2455498.8124005 1.1991559296700757e-05 5.4158605910031645e-06 0.0005207437710326963
2455498.8540679 -6.872255261815655e-06 -1.8169764170400755e-06 0.0002872419997473851
2455498.8957341 2.5708961506944412e-05 1.3690571771424933e-05 0.0004712992615145056
2455498.9374014 -1.707965018885212e-06 -4.216472074717009e-06 0.00020682810313348476
2455498.9790675 4.7115474531404614e-05 3.226320032076484e-05 0.0004405728594702162
2455499.0513603 0.0 0.0 0.0
2455499.0930263 0.0 0.0 0.0
2455499.1346925 0.0 0.0 0.0
2455499.1763587 0.0 0.0 0.0
2455499.2180247 0.0 0.0 0.0
2455499.2596898 0.0 0.0 0.0
2455499.3013559 0.0 0.0 0.0
2455499.3430221 0.0 0.0 0.0
2455499.3846882 0.0 0.0 0.0
2455499.4680206 0.0 0.0 0.0
2455499.5096856 2.9651672822793673e-05 1.4229495441373485e-05 0.000733395400087006
2455499.5513517 3.3848341354272395e-05 1.4698069415034685e-05 0.0005482189276666844
2455499.593018 2.912205881494587e-05 1.6969032398096016e-05 0.0007932439783848479
2455499.6346841 3.195787597172786e-05 1.3069179952186175e-05 0.0005243817233578395
2455499.6763502 3.342236352452492e-05 1.8004656959467234e-05 0.0007635918743924409
2455499.7180164 3.229595561075003e-05 2.015466766049882e-05 0.0005246401505761117
2455499.7268693 1.663545029561525e-05 6.175419262613519e-06 0.00034984763964388986
2455499.7707336 0.0 0.0 0.0
2455499.8123998 4.016959395002975e-05 1.419341296857518e-05 0.0004363028264824389
2455499.8540671 3.75923257797802e-05 2.9044927803036847e-05 0.00039139354178036105
2455499.8957333 4.520710893092463e-05 3.365250318677474e-05 0.0004932621763057263
2455499.9374006 3.7798210210788886e-05 4.1184983676766456e-05 0.00040228664260441257
2455499.9790666 4.544262447475574e-05 4.1863848564914985e-05 0.0004516451796488909
2455500.0513595 0.0 0.0 0.0
2455500.0930256 4.3957146344493706e-05 3.583364950641373e-05 0.0005976633784914561
2455500.1346917 5.128619997061612e-05 3.4608264403719965e-05 0.0006828850315658872
2455500.1763578 4.708442288700543e-05 2.4720898879907397e-05 0.0006104366072624216
2455500.218024 4.078690864412434e-05 2.1854604617374956e-05 0.0007504327930431653
2455500.259689 4.595222957329375e-05 2.2959434245535372e-05 0.0006957348316921442
2455500.3013551 3.1903266149206816e-05 1.8281540250427267e-05 0.0005994361018895947
2455500.3430213 3.8259228542035436e-05 2.724990509976838e-05 0.0006525093537419005
2455500.3846874 2.7177173447641406e-05 3.074455525146599e-05 3.074455525146599e-05
2455500.4680199 4.800143475834344e-05 3.960953686378803e-05 3.960953686378803e-05
2455500.5096847 5.834978431161475e-05 4.236912118505982e-05 4.236912118505982e-05
2455500.5513509 6.375453183269653e-05 4.341589392502404e-05 4.341589392502404e-05
2455500.593017 7.33783236381951e-05 4.134283737130936e-05 4.134283737130936e-05
2455500.6346833 6.102725241951309e-05 4.379514654841574e-05 4.379514654841574e-05
