Created 04/28/21 by L. Feaga
HRI-IR/raw/DOY/ID/hi*_001*.fit
 
NAME                   SIZE      EXPID   OBSMIDJD         OBSDATE                 IMGMODEN IMGH027 INTTIME (ms)  TARSCR (km)   PXLSCALE (m/pix)  
DOY 298 
hi10102917_4000009_001 512 256   4000009 2455499.21459830 2010-10-29T17:08:57.295 BINFF    38      8000.33000000 6238977.44841 62389.774
hi10102918_4000011_001 512 256   4000011 2455499.25626340 2010-10-29T18:08:57.159 BINFF    38      8000.33000000 6194801.47435 61948.015
hi10102919_4000013_001 512 256   4000013 2455499.29792960 2010-10-29T19:08:57.117 BINFF    38      8000.33000000 6150621.80313 61506.218
hi10102920_4000015_001 512 256   4000015 2455499.33959570 2010-10-29T20:08:57.071 BINFF    38      8000.33000000 6106439.65043 61064.397
hi10102921_4000017_001 512 256   4000017 2455499.38126190 2010-10-29T21:08:57.025 BINFF    38      8000.33000000 6062254.98565 60622.550
hi10102922_4000019_001 512 256   4000019 2455499.42292800 2010-10-29T22:08:56.982 BINFF    38      8000.33000000 6018067.77819 60180.678
hi10102923_4000021_001 512 256   4000021 2455499.46459420 2010-10-29T23:08:56.936 BINFF    38      8000.33000000 5973878.14130 59738.781
DOY 303
hi10103000_4000023_001 512 256   4000023 2455499.50625920 2010-10-30T00:08:56.792 BINFF    38      8000.33000000 5929687.24327 59296.872
hi10103001_4000025_001 512 256   4000025 2455499.54792530 2010-10-30T01:08:56.750 BINFF    38      8000.33000000 5885492.65591 58854.927
hi10103002_4000027_001 512 256   4000027 2455499.58959160 2010-10-30T02:08:56.716 BINFF    38      8000.33000000 5841295.54746 58412.955
hi10103003_4000029_001 512 256   4000029 2455499.63125770 2010-10-30T03:08:56.670 BINFF    38      8000.33000000 5797096.17516 57970.962
hi10103004_4000031_001 512 256   4000031 2455499.67292380 2010-10-30T04:08:56.616 BINFF    38      8000.33000000 5752894.50851 57528.945
hi10103005_4000033_001 512 256   4000033 2455499.71459000 2010-10-30T05:08:56.573 BINFF    38      8000.33000000 5708690.32518 57086.903
hi10103005_4000035_001 512 256   4000035 2455499.72344300 2010-10-30T05:21:41.472 BINFF    38      8000.33000000 5699297.76844 56992.978
hi10103006_4000037_001 512 256   4000037 2455499.76730730 2010-10-30T06:24:51.347 BINFF    38      8000.33000000 5652758.50952 56527.585
hi10103007_4000039_001 512 256   4000039 2455499.80897340 2010-10-30T07:24:51.300 BINFF    38      8000.33000000 5608549.06397 56085.491
hi10103008_4000041_001 512 256   4000041 2455499.85064070 2010-10-30T08:24:51.356 BINFF    38      8000.33000000 5564336.05544 55643.361
hi10103009_4000043_001 512 256   4000043 2455499.89230690 2010-10-30T09:24:51.314 BINFF    38      8000.33000000 5520121.94818 55201.219
hi10103010_4000045_001 512 256   4000045 2455499.93397420 2010-10-30T10:24:51.369 BINFF    38      8000.33000000 5475904.36091 54759.044
hi10103011_4000047_001 512 256   4000047 2455499.97564020 2010-10-30T11:24:51.315 BINFF    38      8000.33000000 5431685.85413 54316.859
hi10103013_4000001_001 512 256   4000001 2455500.04793310 2010-10-30T13:08:57.419 BINFF    38      8000.33000000 5354959.00074 53549.590
hi10103014_4000003_001 512 256   4000003 2455500.08959920 2010-10-30T14:08:57.373 BINFF    38      8000.33000000 5310734.29882 53107.343
hi10103015_4000005_001 512 256   4000005 2455500.13126530 2010-10-30T15:08:57.319 BINFF    38      8000.33000000 5266507.49581 52665.075
hi10103016_4000007_001 512 256   4000007 2455500.17293150 2010-10-30T16:08:57.281 BINFF    38      8000.33000000 5222278.32144 52222.783
hi10103017_4000009_001 512 256   4000009 2455500.21459760 2010-10-30T17:08:57.234 BINFF    38      8000.33000000 5178047.08133 51780.471
hi10103018_4000011_001 512 256   4000011 2455500.25626260 2010-10-30T18:08:57.087 BINFF    38      8000.33000000 5133814.94517 51338.149
hi10103019_4000013_001 512 256   4000013 2455500.29792880 2010-10-30T19:08:57.045 BINFF    38      8000.33000000 5089579.38679 50895.794
hi10103020_4000015_001 512 256   4000015 2455500.33959490 2010-10-30T20:08:56.998 BINFF    38      8000.33000000 5045341.76782 50453.418
hi10103021_4000017_001 512 256   4000017 2455500.38126110 2010-10-30T21:08:56.956 BINFF    38      8000.33000000 5001102.01000 50011.020
hi10103022_4000019_001 512 256   4000019 2455500.42292720 2010-10-30T22:08:56.910 BINFF    38      8000.33000000 4956860.22710 49568.602
hi10103023_4000021_001 512 256   4000021 2455500.46459350 2010-10-30T23:08:56.876 BINFF    38      8000.33000000 4912616.24487 49126.162
DOY 304
hi10103100_4000023_001 512 256   4000023 2455500.50625840 2010-10-31T00:08:56.724 BINFF    38      8000.33000000 4868371.66547 48683.717
