jd, h2o, co2, dust
2455496.5512415 0.0012278420468217358 0.00015922433726371218 0.00015922433726371218
2455496.5720741 0.001203226818122093 0.00012686586321097434 0.00012686586321097434
2455496.5929077 0.001043476119581638 0.00023570374221552808 0.00023570374221552808
2455496.6137414 0.001083894421271445 0.00020200166438585066 0.00020200166438585066
2455496.634575 0.0012023799512429943 0.0003125638411659402 0.0003125638411659402
2455496.6554077 0.0013226102143698158 0.00040560460601043514 0.00040560460601043514
2455496.6762413 0.001258645101165997 0.0004737990132556116 0.0004737990132556116
2455496.6970748 0.0013365175170093997 0.0006042657120089744 0.0006042657120089744
2455496.7179074 0.0012753465630640415 0.0006130812829497245 0.0006130812829497245
2455496.7387411 0.0014770055792369134 0.0007262932557711954 0.0007262932557711954
2455496.7595747 0.0014880280619907068 0.0008225024776633933 0.0008225024776633933
2455496.7804073 0.001459643770319414 0.0008037394552788262 0.0008037394552788262
2455496.8012409 0.001409333796534779 0.0009473835664898124 0.0009473835664898124
2455497.5096954 0.0 0.0 0.0
2455497.5513614 0.0004741237115450446 0.000637851382966002 0.000637851382966002
2455497.5930275 0.0008585225643658129 0.0007679960432336662 0.0007679960432336662
2455497.6346937 0.0008822301628144042 0.0009310876437240493 0.0009310876437240493
2455497.6763598 0.0009754211550385791 0.0009350172612297295 0.0009350172612297295
2455497.7180249 0.000860352834617896 0.000956542609170911 0.000956542609170911
2455497.726871 0.0009747771695882326 0.0008489604807241427 0.0008489604807241427
2455497.7707352 0.0008207580243082161 0.000725281172898736 0.000725281172898736
2455497.8124014 -3.9905927600705535e-05 9.596158966903532e-07 9.596158966903532e-07
2455497.8540687 0.0007535272049464624 0.0006241726189087256 0.0006241726189087256
2455497.8957349 0.0008028021052361266 0.00042210882169415275 0.00042210882169415275
2455497.9374022 0.0010879170444339965 0.0003432896031685516 0.0003432896031685516
2455497.9790684 0.0 0.0 0.0
2455498.0513611 0.0010159041336535572 0.0003197881055995576 0.0003197881055995576
2455498.0930272 0.0005831952634624286 0.0005925102152138393 0.0005925102152138393
2455498.1346933 0.0005104512116246942 0.0007372193305259115 0.0007372193305259115
2455498.1763595 0.0007119346325642017 0.0007609257275156141 0.0007609257275156141
2455498.2180255 0.0009741886563285973 0.0009009065949853088 0.0009009065949853088
2455498.2596906 0.0008597615767376798 0.0008824515415639446 0.0008824515415639446
2455498.3013568 0.0010248187766296812 0.000792076410801256 0.000792076410801256
2455498.3430229 0.0009456632507727185 0.0007404333907422502 0.0007404333907422502
2455498.3846892 0.0007961875435954865 0.0006511185946032175 0.0006511185946032175
2455498.4680214 0.0009041924675160732 0.0005567133715680504 0.0005567133715680504
2455498.5096864 0.0006802013130028908 0.000526584439713988 0.000526584439713988
2455498.5513526 0.0006748626897249931 0.0006214983378744103 0.0006214983378744103
2455498.5930187 0.0006632714864468144 0.0004431957402870507 0.0004431957402870507
2455498.634685 0.0006063919475368366 0.0004625413048508071 0.0004625413048508071
2455498.676351 0.0006334255718932621 0.00043924353952800373 0.00043924353952800373
2455498.7180172 0.0006144469131069792 0.0002837391172600475 0.0002837391172600475
2455498.7268701 0.0006943037301130095 0.000364623530510997 0.000364623530510997
2455498.7707343 0.0006735047050780588 0.00028211873453867596 0.00028211873453867596
2455498.8124005 0.0003431793641766943 0.00021765151354144867 0.00021765151354144867
2455498.8540679 -0.00012408990370171667 -8.932652358345587e-05 -8.932652358345587e-05
2455498.8957341 0.0006104820137537823 0.00041387972600614265 0.00041387972600614265
2455498.9374014 -0.00010747929394124254 -0.00013828381165970942 -0.00013828381165970942
2455498.9790675 0.001040185191289043 0.0009468525914900002 0.0009468525914900002
2455499.0513603 0.0 0.0 0.0
2455499.0930263 0.0 0.0 0.0
2455499.1346925 0.0 0.0 0.0
2455499.1763587 0.0 0.0 0.0
2455499.2180247 0.0 0.0 0.0
2455499.2596898 0.0 0.0 0.0
2455499.3013559 0.0 0.0 0.0
2455499.3430221 0.0 0.0 0.0
2455499.3846882 0.0 0.0 0.0
2455499.4680206 0.0 0.0 0.0
2455499.5096856 0.0007707224951224418 0.0004897874408502802 0.0004897874408502802
2455499.5513517 0.00074585437742696 0.0004596837748286882 0.0004596837748286882
